,date,name,tweet
57,2014-12-15,중소벤처기업부,뿌리가 튼튼해야 나무가 튼튼한 법 ;-)  #일하기_좋은_뿌리기업 #뿌리기업_명가_가 한 자리에 모입니다~! 2014 뿌리산업 취업 박람회 2014.12.17(수) 양재 aT센터(제 1전시장)  http://t.co/GxO3HLRO2q
58,2014-12-12,중소벤처기업부,[12월 12일] 점심먹고 땡! 하루 한 개 중기청 퀴즈! #당첨자발표 엄마가 길을 잃으면?! 정답은 '맘마미아'입니다 ;-)  @soinw9988님! DM으로 성함과 연락처 보내주세요! 초콜렛 보내드립니다;-)
59,2014-12-12,중소벤처기업부,"[성공창업 파트너 상권정보 시스템!] 창업 전, 상권 체크는 필수! 상권 분석은 물론, 점포평가등의 다양한 정보가 #가득  http://t.co/oc1z8NbhmX #이런_꿀팁은_널리널리_알리는_것이_상도덕  http://t.co/Bay6PyQXIJ"
60,2014-12-12,중소벤처기업부,[12월 12일] 점심먹고 땡! 하루 한 개 중기청 퀴즈!  피식하고 웃어주시면 만족할 그런 넌센스 퀴즈. 오늘의 정답은~?! 정답을 아시는 분은 답글 남겨주세요! 추첨을 통해 초콜렛 보내드립니다~!  http://t.co/8K4ToZn796
61,2014-12-12,중소벤처기업부,미국에선 도주범이 스쿨버스 때문에 잡힌다는데? 중기청에서 갑자기 왜 스쿨버스 이야기냐구요?! 오중기가 만난 바로 이사람 때문이죠 ;-)  선우기술의 어린이 승하차보호기와 전상훈 대표님 이야기 함께 만나요! &gt;&gt;  http://t.co/LPP5WTS2co
62,2014-12-11,중소벤처기업부,"[12월 11일] 점심먹고 땡! 하루 한 개 중기청 퀴즈! #당첨자발표 웃고 있는 오!중기는 4명 입니다! @joghaa,@SH6018님! DM으로 성함과 연락처 보내주세요~!  초콜렛 보내드릴게요;-)  http://t.co/tJhrfQIdUq"
63,2014-12-11,중소벤처기업부,의정부 제일시장. 첫 월급의 추억을 떠올리게 하는 내복집에 인디밴드 ‘코로나’가 찾았습니다. 젊은 인디밴드가 재래시장을 찾던 이색 시도 ‘가게 앞 세레나데’ 그 마지막 이야기를 전해봅니다 &gt;&gt;&gt;  http://t.co/NnuF9fvLFC
64,2014-12-11,중소벤처기업부,가게 앞 세레나데_코로나 (의정부 제일시장) 편:  http://t.co/r7HG6bF2lE (@YouTube)
65,2014-12-11,중소벤처기업부,동영상을 @YouTube 재생목록  http://t.co/r7HG6bF2lE 가게 앞 세레나데_코로나 (의정부 제일시장) 편에
66,2014-12-11,중소벤처기업부,[12월 11일] 점심먹고 땡! 하루 한 개 중기청 퀴즈! 웃고 있는 오!중기는 몇 명 일까요~?! 정답을 아시는 분은 답글 남겨주세요 ;-) 추첨을 통해 초콜렛 보내드립니다~! #매의눈으로_찾아봅시다!  http://t.co/sgTTm5ahW8
67,2014-12-11,중소벤처기업부,꿈이와의 그린라이트에 설레던 중기! 그런데 꿈이가 다른 남자와 함께 있는 것을 발견하는데....! 과연 그의 정체는...?! 꿈꾸는 대표님 4화에서 확인하세요 ;-)   http://t.co/0YZadhGAZR  http://t.co/Eg6FMlLQvm
68,2014-12-10,중소벤처기업부,"12월 10일 중기청 점심먹고 땡! #소문이벤트_당첨자발표!! @zq__9229, @Park_Egg님! DM으로 성함과 연락처 보내주세요~! 달콤한 초콜렛 보내드릴게요~!"
69,2014-12-10,중소벤처기업부,"가게 앞 세레나데 12월 공연, 코로나밴드가 추워도 따뜻한 크리스마스의 감성을 가득 담아 의정부 제일시장을 찾았습니다:) #영상_마지막_감동의_심장어택까지_놓치지마세요_감동심쿵주의보  http://t.co/SJcYUspsuH"
70,2014-12-10,중소벤처기업부,가게 앞 세레나데_코로나 밴드(의정부 제일시장) 편:  http://t.co/0db3cJW8PB (@YouTube)
71,2014-12-10,중소벤처기업부,동영상을 @YouTube 재생목록  http://t.co/JaUOXENyMp 가게 앞 세레나데_코로나 밴드(의정부 제일시장) 편에
72,2014-12-10,중소벤처기업부,@morsengkorea 블로그에서 자세한 내용 확인하세요 :)  http://t.co/I9MEUorTO9
73,2014-12-10,중소벤처기업부,"[12월 10일] 점심먹고 땡! 하루 한 개 중기청 이벤트!  벤처법 개정안이 의결되었다는 이 소식을 리트윗해 널리 소문내 봅시다! 추첨을 통해 5분께 달콤한 ""초콜릿"" 보내드릴게요;-)  http://t.co/xdGG5H5vhA"
74,2014-12-10,중소벤처기업부,@digitalnatura 어이쿠! 맞팔완료했습니다:)
75,2014-12-10,중소벤처기업부,핵심을 찌르는 채용 설명회는 기본! 실시간 질의응답 부터 아이디어 공모전 까지! #전문연구요원_온라인_채용설명회_커밍쑤운!  자세한 내용보기 &gt;&gt;&gt;  http://t.co/JuiSm4qtNJ  http://t.co/kqmNOM8cYF
76,2014-12-09,중소벤처기업부,"[12월 09일] 2020 새로운 기업이 온다! ""도서이벤트"" #당첨자발표 @digitalnatura님! DM으로 (이름/전화번호/받으실 주소)를 보내주세요^^ &lt;2020 새로운 기업이 온다&gt;를 보내드립니다! #매일 #중기청_이벤트 #내일도_계속!"
77,2014-12-09,중소벤처기업부,"벤처 창업의 문을 더욱 활짝 열어 줄 열쇠! ‘벤처기업육성에 관한 특별 조치법’이 의결되었습니다 :) #엔젤펀드 참여자격은 늘리고, 규제는 확 줄였습니다! 자세한 내용 보러 블로그로 #드루와 보세요 &gt;&gt;&gt;  http://t.co/QltbVbbSzN"
78,2014-12-09,중소벤처기업부,"[12월 09일] 2020 새로운 기업이 온다! #도서이벤트 지금부터, 2020년형 새로운 기업을 준비해봅시다! 이 책이 필요한 이유를 답글로 남겨주세요~!  추첨을 통해 다섯분께 보내드립니다^0^  http://t.co/81SIZicDX0"
79,2014-12-09,중소벤처기업부,"[중소기업 다큐 하루! ""꽃보다 비츠로셀""] #스마트그리드 시장 확대로 더욱 주목받는 이 기업. #리튬1차전지시장_세계3위의_위엄_비츠로셀을 나다운 서포터즈가 기록한 '다큐 하루'로 만나보세요!   &gt;&gt;&gt;  http://t.co/KW8R7zLD2F"
80,2014-12-08,중소벤처기업부,"[12월 08일] 점심먹고 땡! 하루 한 개 중기청 이벤트! #당첨자발표 현장의 어려움들! 이곳에서 이야기해주세요!! 오늘의 정답은 '중소기업 옴부즈만'입니다~!  @J0o07, @hoemania님! DM으로 성함과 연락처 보내주세요~!"
